Source.Name,Time,Upper_Lip,Lower_Lip,Eye_Distance,Yaw,Pitch,Roll,Not_Front_Face,Head_Tilt,Eyes_Closed,Yawning
116003.txt,1.83,0.21873,0.23449,0.02204,8.8,57.51,-8.88,FALSE,TRUE,TRUE,FALSE
116003.txt,2.21,0.21432,0.23182,0.02267,7.34,57.25,-7.64,FALSE,TRUE,TRUE,FALSE
116003.txt,2.3,0.2197,0.23349,0.02552,5.49,55.25,-4.48,FALSE,TRUE,TRUE,FALSE
116003.txt,2.41,0.21294,0.22786,0.02488,6.75,55.72,-2.76,FALSE,TRUE,TRUE,FALSE
116003.txt,2.51,0.20295,0.21391,0.0215,6.54,58.28,-3.08,FALSE,TRUE,TRUE,FALSE
116003.txt,2.61,0.17005,0.18342,0.01707,6.78,60.06,-2.43,FALSE,TRUE,TRUE,FALSE
116003.txt,2.71,0.12932,0.14742,0.01849,8.35,64.64,-1.65,FALSE,TRUE,TRUE,FALSE
116003.txt,2.81,0.08768,0.11101,0.01762,6.93,64.25,-1.61,FALSE,TRUE,TRUE,FALSE
116003.txt,2.91,0.05484,0.07452,0.01583,10.06,55.08,-0.82,FALSE,TRUE,TRUE,FALSE
116003.txt,3.01,0.0368,0.04968,0.01766,11.43,50.57,-6.59,FALSE,TRUE,TRUE,FALSE
116003.txt,3.11,0.06104,0.07581,0.01649,11.95,52.62,-5.46,FALSE,TRUE,TRUE,FALSE
116003.txt,3.21,0.10911,0.13905,0.02261,11.87,53.18,-6.42,FALSE,TRUE,TRUE,FALSE
116003.txt,3.31,0.14147,0.16001,0.02058,16.24,52.55,-10.78,TRUE,TRUE,TRUE,FALSE
116003.txt,3.41,0.12134,0.1622,0.01195,12.58,69.3,3.12,FALSE,TRUE,TRUE,FALSE
116003.txt,3.51,0.14969,0.20847,0.01362,14.32,67.1,2.98,FALSE,TRUE,TRUE,TRUE
116003.txt,3.61,0.18668,0.23913,0.01178,13.19,68.32,11.05,FALSE,TRUE,TRUE,TRUE
116003.txt,3.71,0.23021,0.28493,0.01549,5.7,71.08,-3.41,FALSE,TRUE,TRUE,TRUE
116003.txt,3.81,0.28483,0.32288,0.0185,4.37,66,-0.92,FALSE,TRUE,TRUE,FALSE
116003.txt,3.91,0.2993,0.33861,0.01958,-1.31,63.8,-3.45,FALSE,TRUE,TRUE,FALSE
116003.txt,4.01,0.29257,0.33582,0.02492,-4.31,63.24,-5.18,FALSE,TRUE,FALSE,FALSE
116003.txt,4.12,0.28599,0.33313,0.02577,-7.23,65.34,-10.23,FALSE,TRUE,FALSE,FALSE
116003.txt,4.22,0.28359,0.33195,0.02629,-7.94,64.59,-15.05,FALSE,TRUE,FALSE,FALSE
116003.txt,4.32,0.28601,0.33178,0.02854,-5.38,66.55,-12.67,FALSE,TRUE,FALSE,FALSE
116003.txt,4.42,0.28833,0.32523,0.02765,-3.94,69.76,-8.6,FALSE,TRUE,FALSE,FALSE
116003.txt,4.52,0.30678,0.33095,0.02438,-2.2,67.73,-7.62,FALSE,TRUE,TRUE,FALSE
116003.txt,4.62,0.32138,0.34905,0.02668,0.76,66.81,-7.14,FALSE,TRUE,FALSE,FALSE
116003.txt,4.72,0.36813,0.38813,0.03157,5.66,60.75,-7.94,FALSE,TRUE,FALSE,FALSE
116003.txt,4.82,0.43447,0.43833,0.03137,9.69,53.36,-4.42,FALSE,TRUE,FALSE,FALSE
116003.txt,4.92,0.45706,0.464,0.02345,4.83,57.51,-6.98,FALSE,TRUE,TRUE,FALSE
116003.txt,5.02,0.44813,0.45678,0.02442,3.02,59.25,-9.2,FALSE,TRUE,TRUE,FALSE
116003.txt,5.12,0.44669,0.45715,0.02565,5.1,58.01,-8.59,FALSE,TRUE,TRUE,FALSE
116003.txt,5.22,0.44576,0.45561,0.02591,5.13,57.48,-8.46,FALSE,TRUE,TRUE,FALSE
116003.txt,5.33,0.44631,0.45606,0.02532,4.75,56.71,-8.32,FALSE,TRUE,TRUE,FALSE
116003.txt,5.43,0.44632,0.45665,0.02513,4.82,56.51,-8.15,FALSE,TRUE,TRUE,FALSE
116003.txt,5.53,0.44505,0.45419,0.0246,4.68,56.86,-8.28,FALSE,TRUE,TRUE,FALSE
116003.txt,5.63,0.44362,0.45189,0.02466,4.5,57.13,-8.59,FALSE,TRUE,TRUE,FALSE
116003.txt,5.73,0.43979,0.44825,0.02506,4.6,58.16,-8.08,FALSE,TRUE,TRUE,FALSE
116003.txt,5.83,0.43383,0.43926,0.02637,4.44,59.68,-9.12,FALSE,TRUE,TRUE,FALSE
116003.txt,5.93,0.42494,0.42946,0.02686,4.49,61.1,-9.91,FALSE,TRUE,FALSE,FALSE
116003.txt,6.03,0.42214,0.42617,0.02222,2.31,60.42,-10.27,FALSE,TRUE,TRUE,FALSE
116003.txt,6.13,0.42019,0.4235,0.01577,-0.66,59.7,-10.12,FALSE,TRUE,TRUE,FALSE
116003.txt,6.23,0.41393,0.41815,0.01483,-0.62,60.23,-10.61,FALSE,TRUE,TRUE,FALSE
116003.txt,6.33,0.40578,0.40979,0.01528,-2.46,62.49,-12.28,FALSE,TRUE,TRUE,FALSE
116003.txt,6.44,0.39662,0.40074,0.01445,-3.56,64.38,-13.16,FALSE,TRUE,TRUE,FALSE
116003.txt,6.53,0.39395,0.39689,0.01299,-4.36,64.57,-13.89,FALSE,TRUE,TRUE,FALSE
116003.txt,6.63,0.38965,0.39296,0.01291,-2.81,64.65,-15.5,FALSE,TRUE,TRUE,FALSE
116003.txt,6.73,0.38916,0.39239,0.01256,-3.46,65.67,-18.17,FALSE,TRUE,TRUE,FALSE
116003.txt,6.83,0.39156,0.39514,0.01289,-3.4,65.28,-19.1,FALSE,TRUE,TRUE,FALSE
116003.txt,6.94,0.38937,0.39206,0.01326,-3.63,66.01,-19.98,FALSE,TRUE,TRUE,FALSE
116003.txt,7.04,0.38828,0.39167,0.01346,-3.26,65.99,-20.24,FALSE,TRUE,TRUE,FALSE
116003.txt,7.14,0.3887,0.39185,0.01315,-3.31,66.04,-20.48,FALSE,TRUE,TRUE,FALSE
116003.txt,7.24,0.3907,0.394,0.01313,-3.78,65.94,-20.06,FALSE,TRUE,TRUE,FALSE
116003.txt,7.34,0.38909,0.39223,0.01318,-3.39,65.72,-20,FALSE,TRUE,TRUE,FALSE
116003.txt,7.44,0.3874,0.39063,0.01328,-3.73,66.06,-20.07,FALSE,TRUE,TRUE,FALSE
116003.txt,7.54,0.38815,0.39136,0.01249,-4.27,66.28,-20.23,FALSE,TRUE,TRUE,FALSE
116003.txt,7.64,0.38698,0.38978,0.01252,-4.16,66.14,-19.46,FALSE,TRUE,TRUE,FALSE
116003.txt,7.74,0.38715,0.39022,0.01282,-4.39,66.36,-19.48,FALSE,TRUE,TRUE,FALSE
116003.txt,7.84,0.38489,0.38815,0.01286,-3.27,66.1,-18.46,FALSE,TRUE,TRUE,FALSE
